zipCode,Female,Male
04434,2456,2528
04435,2244,2124
04438,2256,2240
04441,3768,3592
04442,172,200
04443,5132,5016
04444,17724,17572
04448,2948,2776
04449,2956,3000
04450,2712,2760
04451,512,524
04453,1520,1596
04454,148,128
04455,1760,1932
04456,5620,5784
04457,12056,11736
04459,1516,1576
04460,2828,2848
04461,6220,6060
04462,9840,9500
04463,5752,5636
04464,1292,1444
04468,19612,18472
04469,4824,5984
04471,1144,1292
04472,4280,4296
04473,15140,15500
04474,7528,7404
04475,856,816
04476,2584,2452
04478,556,708
04479,2776,2596
04481,1148,1088
04485,432,500
04487,1804,2052
04488,2404,2404
04489,388,400
04490,520,572
04491,256,304
04492,356,308
04493,4024,3844
04495,804,824
04496,7600,7428
04497,708,848
04530,22916,20356
04535,1456,1380
04537,4192,4100
04538,4564,3756
04539,2340,2332
04541,152,168
04543,4952,3920
04544,1516,1380
04547,2284,2324
04548,2080,2088
04551,1656,1568
04553,3664,3344
04554,1476,1364
04555,3316,3256
04556,2492,2504
04558,648,584
04562,4404,4460
04563,3116,3020
04564,956,1000
04568,820,744
04570,4,4
04571,620,672
04572,10284,10016
04573,1020,984
04574,2908,3132
04575,160,180
04576,1244,1172
04578,8816,8984
04579,6212,6076
04605,26684,25212
04606,2576,2512
04607,2344,2384
04609,11220,9668
04611,992,1040
04612,1272,1084
04613,344,388
04614,5468,4848
04616,1704,1592
04617,1676,1568
04619,6460,6024
04622,2920,2728
04623,2116,2100
04624,380,356
04625,96,92
04626,908,1120
04627,3480,3064
04628,1452,1360
04629,232,196
04630,2860,2732
04631,2820,2504
04634,3880,3812
04635,92,152
04637,308,236
04640,4620,4424
04642,268,224
04643,2040,2032
04644,28,24
04645,124,168
04646,160,216
04648,1144,1176
04649,2832,2648
04650,492,448
04652,3484,3276
04653,996,964
04654,7172,6524
04655,1956,2520
04657,716,736
04658,2804,2608
04660,2644,2592
04662,1028,924
04664,2536,2416
04666,2388,2300
04667,3444,3108
04668,3248,3472
04669,416,400
04671,1080,1224
04673,236,212
04674,992,944
04675,572,440
04676,2184,2168
04677,556,540
04679,3748,3320
04680,2228,2296
04681,2100,2072
04683,224,192
04684,2948,2916
04685,636,692
04686,224,232
04691,884,880
04693,1088,976
04694,4880,4624
04730,20700,19268
04732,3200,3480
04733,444,440
04734,1592,1608
04735,1232,1236
04736,20412,19092
04739,2200,2248
04740,2592,2556
04741,4,8
04742,7220,6764
04743,9644,9060
04745,2120,2208
04746,920,960
04747,2716,2632
04750,4880,5532
04756,6928,6448
04757,5692,5788
04758,3180,2812
04760,1520,1660
04761,1092,1024
04762,1192,1216
04763,1464,1440
04764,144,120
04765,2500,2548
04766,756,788
04768,792,808
04769,20072,18696
04772,1480,1568
04773,1344,1548
04774,1464,1456
04776,1844,1856
04777,772,916
04779,816,776
04780,1612,1620
04781,1076,1164
